--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
/home/gpuadmin/dataset/test/output_product_crop/229_281_267_297.png	AMBK2                    	0.9999
/home/gpuadmin/dataset/test/output_product_crop/314_337_337_352.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/371_1052_402_1068.png	ABP4                     	0.9999
/home/gpuadmin/dataset/test/output_product_crop/380_187_413_201.png	ASF14                    	1.0000
/home/gpuadmin/dataset/test/output_product_crop/388_926_421_942.png	AMC4                     	0.9999
/home/gpuadmin/dataset/test/output_product_crop/392_290_420_307.png	ASF6                     	1.0000
/home/gpuadmin/dataset/test/output_product_crop/722_182_758_197.png	ASF14                    	1.0000
/home/gpuadmin/dataset/test/output_product_crop/812_676_832_691.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/816_362_838_378.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/828_278_867_294.png	AMBK4                    	1.0000
/home/gpuadmin/dataset/test/output_product_crop/1090_487_1125_502.png	ASF14                    	0.9995
/home/gpuadmin/dataset/test/output_product_crop/1094_456_1125_470.png	AMC4                     	0.9999
/home/gpuadmin/dataset/test/output_product_crop/1098_431_1136_446.png	AMBK2                    	0.9997
/home/gpuadmin/dataset/test/output_product_crop/1101_517_1132_531.png	ASF6                     	0.9999
/home/gpuadmin/dataset/test/output_product_crop/1172_676_1194_690.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/1178_424_1205_438.png	ASF3                     	0.9997
/home/gpuadmin/dataset/test/output_product_crop/1181_947_1210_961.png	ABP4                     	1.0000
/home/gpuadmin/dataset/test/output_product_crop/1200_556_1239_574.png	AMBK4                    	1.0000
/home/gpuadmin/dataset/test/output_product_crop/1201_760_1233_775.png	AMC4                     	0.9997
/home/gpuadmin/dataset/test/output_product_crop/1209_446_1232_460.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/1224_906_1256_922.png	AMC4                     	0.9999
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
/home/gpuadmin/dataset/test/output_product_crop/229_281_267_297.png	AMBK2                    	0.9999
/home/gpuadmin/dataset/test/output_product_crop/314_337_337_352.png	AP1                      	1.0000
/home/gpuadmin/dataset/test/output_product_crop/371_1052_402_1068.png	ABP4                     	0.9999
/home/gpuadmin/dataset/test/output_product_crop/380_187_413_201.png	ASF14                    	1.0000
